"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.100.10","192.168.100.11","TCP","74","46070  >  9999 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3054223858 TSecr=0 WS=512"
"2","0.003259357","192.168.100.11","192.168.100.10","TCP","74","9999  >  46070 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2230215204 TSecr=3054223858 WS=128"
"3","0.003281701","192.168.100.10","192.168.100.11","TCP","66","46070  >  9999 [ACK] Seq=1 Ack=1 Win=64512 Len=0 TSval=3054223861 TSecr=2230215204"
"4","0.003369910","192.168.100.10","192.168.100.11","TCP","5383","46070  >  9999 [PSH, ACK] Seq=1 Ack=1 Win=64512 Len=5317 TSval=3054223861 TSecr=2230215204"
"5","0.003422732","192.168.100.10","192.168.100.11","TCP","66","46070  >  9999 [FIN, ACK] Seq=5318 Ack=1 Win=64512 Len=0 TSval=3054223861 TSecr=2230215204"
"6","0.003743272","192.168.100.11","192.168.100.10","TCP","66","9999  >  46070 [ACK] Seq=1 Ack=5318 Win=64128 Len=0 TSval=2230215205 TSecr=3054223861"
"7","0.004008155","192.168.100.10","192.168.100.12","TCP","74","33826  >  9999 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4011346006 TSecr=0 WS=512"
"8","0.004739651","192.168.100.12","192.168.100.10","TCP","74","9999  >  33826 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=412253200 TSecr=4011346006 WS=128"
"9","0.004764710","192.168.100.10","192.168.100.12","TCP","66","33826  >  9999 [ACK] Seq=1 Ack=1 Win=64512 Len=0 TSval=4011346006 TSecr=412253200"
"10","0.004840830","192.168.100.11","192.168.100.10","TCP","66","9999  >  46070 [FIN, ACK] Seq=1 Ack=5319 Win=64128 Len=0 TSval=2230215206 TSecr=3054223861"
"11","0.004848934","192.168.100.10","192.168.100.11","TCP","66","46070  >  9999 [ACK] Seq=5319 Ack=2 Win=64512 Len=0 TSval=3054223863 TSecr=2230215206"
"12","0.004954619","192.168.100.10","192.168.100.12","TCP","5383","33826  >  9999 [PSH, ACK] Seq=1 Ack=1 Win=64512 Len=5317 TSval=4011346007 TSecr=412253200"
"13","0.005020195","192.168.100.10","192.168.100.12","TCP","66","33826  >  9999 [FIN, ACK] Seq=5318 Ack=1 Win=64512 Len=0 TSval=4011346007 TSecr=412253200"
"14","0.005407654","192.168.100.12","192.168.100.10","TCP","66","9999  >  33826 [ACK] Seq=1 Ack=5318 Win=64128 Len=0 TSval=412253201 TSecr=4011346007"
